년월,지역코드,출/입,10대남성 유입인구,20대남성 유입인구,30대남성 유입인구,40대남성 유입인구,50대남성 유입인구,60대남성 유입인구,70대남성 유입인구,10대여성 유입인구,20대여성 유입인구,30대여성 유입인구,40대여성 유입인구,50대여성 유입인구,60대여성 유입인구,70대여성 유입인구
202001,41110,출,118.55,304.43,290.07,233.01,187.08,90.78,36.41,105.08,186.76,132.8,122.16,123.35,85.0,66.32
202001,41130,출,32.77,109.92,119.61,139.45,88.22,60.15,21.05,47.36,69.42,70.03,63.41,51.87,34.43,37.58
202001,41150,출,5.58,23.11,28.59,17.09,25.83,9.86,5.08,5.39,14.41,13.98,10.19,12.16,5.6,4.69
202001,41170,출,25.36,81.28,53.14,53.65,40.6,32.96,13.08,16.17,42.77,30.53,30.22,26.7,21.81,15.84
202001,41190,출,25.14,80.78,70.92,59.44,55.96,24.28,7.2,27.73,33.12,40.3,22.65,25.09,12.58,9.72
202001,41210,출,10.9,27.33,25.33,28.58,18.86,11.93,4.13,10.4,13.33,14.28,11.62,15.63,6.93,5.13
202001,41220,출,1423.47,1272.57,2029.26,1993.7,1416.73,594.74,300.93,1312.7,1286.47,1639.42,1611.93,1235.7,600.98,451.62
202001,41250,출,1.78,3.3,8.34,6.33,3.43,2.13,0.15,7.81,5.21,2.63,1.67,1.81,0.76,1.3
202001,41270,출,54.58,88.81,71.59,95.83,86.75,26.22,14.23,31.67,45.57,30.61,39.71,42.26,13.36,26.81
202001,41280,출,25.1,57.66,38.73,57.82,63.81,16.44,5.23,20.32,44.2,20.77,24.8,20.58,12.31,13.33
202001,41290,출,2.83,5.46,6.95,8.77,12.15,5.12,3.21,4.85,1.25,1.89,6.38,3.23,3.25,0.93
202001,41310,출,4.73,13.35,18.72,12.11,13.79,8.44,2.09,5.13,10.42,5.42,4.08,2.71,3.23,1.54
202001,41360,출,24.92,45.26,37.27,51.96,47.41,19.9,5.31,21.25,27.4,17.77,17.61,21.41,9.67,11.11
202001,41370,출,32.65,73.44,114.47,138.03,84.53,36.9,19.95,43.53,60.2,66.55,71.16,48.78,24.01,16.49
202001,41390,출,19.82,55.66,52.19,66.9,59.34,19.31,8.52,17.02,30.83,26.56,17.15,19.29,9.92,11.54
202001,41410,출,14.05,41.8,21.08,29.45,25.75,14.49,6.12,22.3,11.83,9.43,8.27,12.34,6.45,8.75
202001,41430,출,4.17,25.72,13.62,16.49,12.85,8.17,6.03,3.04,9.35,9.26,6.36,5.82,4.82,1.66
202001,41450,출,11.84,21.13,31.92,26.44,27.5,10.82,6.38,12.06,16.91,22.24,15.37,15.57,6.23,11.73
202001,41460,출,167.94,338.24,515.6,566.53,508.06,219.63,114.38,172.0,248.7,270.05,282.15,309.27,154.55,138.02
202001,41480,출,10.23,19.97,28.99,32.69,29.22,5.84,1.47,7.45,20.73,10.65,10.4,6.05,4.66,7.49
202001,41500,출,127.92,159.87,289.18,230.47,208.41,119.71,48.18,88.99,113.98,153.03,117.48,114.73,58.49,62.9
202001,41550,출,19631.84,13355.39,15833.7,16017.97,14038.94,8238.92,6802.98,18465.33,10780.66,12964.72,14088.65,13253.64,8490.49,10993.47
202001,41570,출,8.2,21.67,19.63,35.31,32.57,11.39,7.59,6.71,10.59,16.82,8.27,7.01,4.27,8.05
202001,41590,출,61.95,188.11,351.26,424.73,292.91,93.42,27.53,87.49,108.76,152.66,113.21,103.28,48.04,32.81
202001,41610,출,13.01,37.41,77.07,65.36,68.87,29.62,6.65,26.09,21.39,41.75,20.24,30.13,10.74,15.97
202001,41630,출,7.09,15.12,15.26,13.03,12.24,4.83,3.03,4.38,4.29,10.47,6.8,4.97,3.12,1.74
202001,41650,출,10.28,20.41,15.75,16.81,17.58,8.96,2.31,9.92,5.99,5.77,7.07,7.31,3.46,0.93
202001,41670,출,33.31,20.88,48.49,62.28,46.78,22.76,4.67,21.0,22.69,30.94,26.03,26.95,13.57,8.73
202001,41800,출,1.78,16.53,3.78,5.71,5.23,0.7,0.22,3.77,4.55,1.54,1.28,2.28,0.57,0.0
202001,41820,출,22.11,16.0,15.46,12.21,7.13,3.08,1.25,11.24,13.0,11.08,6.13,4.38,2.05,0.94
202001,41830,출,7.91,11.06,23.84,10.89,14.73,8.83,3.54,5.81,14.2,9.67,7.07,9.9,5.08,5.78
202002,41110,출,72.94,255.17,266.43,204.5,185.68,82.69,34.53,67.43,148.87,100.53,106.58,105.85,70.4,40.26
202002,41130,출,30.93,93.26,110.84,131.83,80.5,53.48,21.57,27.81,57.48,57.27,52.89,47.54,32.41,26.03
202002,41150,출,4.87,17.02,22.59,12.62,21.05,4.95,4.59,1.87,16.34,14.96,7.62,7.9,4.07,3.63
202002,41170,출,9.24,57.82,52.08,44.85,37.24,27.52,11.16,8.31,22.47,17.89,18.04,22.2,17.26,13.58
202002,41190,출,10.64,55.38,64.18,38.84,48.4,18.69,1.8,7.17,23.7,22.6,13.39,11.86,8.07,3.51
202002,41210,출,12.91,19.4,16.84,27.96,17.62,8.72,6.48,3.5,6.06,11.54,7.33,8.47,4.23,1.34
202002,41220,출,1140.68,1259.21,1989.61,2003.19,1440.72,578.28,245.4,1175.24,1216.61,1432.71,1490.8,1126.64,556.75,368.51
202002,41250,출,0.61,0.79,4.5,4.95,3.53,1.75,0.0,0.56,1.99,3.32,1.1,1.81,0.56,0.38
202002,41270,출,16.25,75.92,65.64,78.55,73.54,22.02,7.58,20.56,37.8,23.42,24.14,27.9,7.53,9.59
202002,41280,출,8.32,46.46,35.33,40.81,56.87,15.52,5.48,16.01,28.01,10.33,11.46,11.64,6.41,8.23
202002,41290,출,1.02,4.44,8.73,7.93,13.48,5.86,2.67,0.8,0.41,1.21,4.29,3.42,1.73,0.27
202002,41310,출,2.65,16.66,13.16,9.28,12.12,8.29,3.15,3.27,13.04,2.77,2.51,4.3,4.23,1.04
202002,41360,출,13.43,29.76,33.28,45.34,51.29,15.65,4.95,7.89,16.46,12.21,13.04,18.89,8.76,5.65
202002,41370,출,37.71,74.49,126.06,142.95,82.35,31.95,15.46,46.17,59.0,69.02,59.67,52.62,18.95,13.14
202002,41390,출,29.25,46.77,49.31,58.05,54.3,19.54,7.47,2.21,22.95,17.73,11.64,16.08,6.17,4.93
202002,41410,출,4.56,27.52,23.22,26.82,27.23,12.39,6.17,5.95,6.9,11.37,6.71,7.65,5.27,4.15
202002,41430,출,4.18,19.92,13.68,13.3,11.7,8.1,3.97,3.44,3.14,7.87,4.99,7.58,6.23,2.52
202002,41450,출,5.04,14.22,30.52,20.74,23.57,9.56,5.38,4.69,10.13,15.1,13.04,11.87,3.44,6.26
202002,41460,출,152.56,313.51,539.55,569.58,502.93,218.22,103.87,128.07,223.58,241.07,249.09,286.31,133.26,108.63
202002,41480,출,7.13,22.3,21.63,29.78,23.85,5.83,0.91,18.01,8.22,7.11,6.69,5.61,1.78,2.01
202002,41500,출,87.74,149.41,274.48,216.82,197.21,110.72,39.39,45.57,90.64,126.52,104.01,109.2,54.34,52.24
202002,41550,출,20123.63,13840.79,16307.33,16478.27,14283.84,8335.78,6830.06,18972.79,11169.31,13305.56,14383.76,13405.74,8559.18,11046.5
202002,41570,출,6.7,15.64,18.95,27.06,34.44,5.95,6.53,5.48,4.27,5.71,7.16,6.11,2.57,5.07
202002,41590,출,76.37,190.58,366.64,435.99,305.42,94.71,22.62,51.53,102.23,135.34,108.07,89.06,36.75,27.13
202002,41610,출,14.02,28.97,50.62,59.15,66.93,26.67,8.01,10.9,25.3,30.72,12.54,23.38,10.19,8.1
202002,41630,출,2.42,4.98,12.47,13.54,8.94,5.41,1.55,3.04,1.63,3.35,4.49,6.16,1.58,2.22
202002,41650,출,3.52,4.95,10.72,14.61,9.46,5.68,3.15,4.94,3.83,3.58,4.16,4.4,2.05,2.63
202002,41670,출,24.71,24.94,39.1,48.94,43.89,24.49,4.74,6.86,21.86,20.76,23.83,19.13,9.39,7.07
202002,41800,출,5.51,1.17,1.78,3.86,3.7,0.18,0.25,0.88,2.12,0.62,1.49,1.03,0.4,0.0
202002,41820,출,9.14,13.47,14.17,8.86,7.85,3.14,1.03,13.31,13.46,9.89,4.22,3.2,1.25,1.03
202002,41830,출,5.38,11.04,14.84,8.36,12.47,4.1,1.89,7.39,6.61,8.45,4.46,5.0,2.33,2.48
202003,41110,출,59.07,225.05,229.87,186.66,156.87,68.15,33.55,43.66,154.04,83.55,85.16,74.01,60.82,30.12
202003,41130,출,23.7,87.47,112.61,111.41,75.74,48.7,17.83,25.64,50.36,36.95,47.76,47.04,27.88,23.06
202003,41150,출,1.34,16.94,21.38,18.9,22.18,4.71,4.56,2.25,10.5,5.88,4.08,10.35,6.41,2.95
202003,41170,출,8.33,64.91,37.92,45.71,33.96,21.9,5.47,10.12,16.95,20.39,16.89,17.48,12.0,9.15
202003,41190,출,10.93,49.88,53.42,38.15,40.69,20.56,1.29,10.5,30.18,17.33,9.64,11.66,5.43,2.15
202003,41210,출,3.34,18.79,17.94,23.21,16.28,6.16,3.21,5.97,12.1,12.27,7.65,6.34,6.79,2.24
202003,41220,출,949.33,1112.05,1861.36,1915.03,1356.62,560.25,232.22,994.28,1048.77,1267.65,1350.5,1001.58,478.43,336.07
202003,41250,출,0.87,2.56,2.54,3.6,2.64,0.95,0.12,0.09,2.39,1.48,0.86,0.61,1.18,0.09
202003,41270,출,20.43,57.21,56.05,72.33,72.92,28.12,3.04,16.8,32.07,19.6,23.81,34.59,5.9,10.09
202003,41280,출,18.31,46.22,31.75,33.28,53.58,14.54,3.55,22.01,30.92,12.87,12.57,10.91,7.57,4.67
202003,41290,출,0.09,3.94,8.62,2.15,10.74,2.47,0.47,0.62,0.29,0.83,3.11,0.91,1.86,0.35
202003,41310,출,0.89,14.94,19.91,8.51,13.43,5.83,1.91,1.37,8.25,4.36,1.71,4.29,1.82,0.7
202003,41360,출,10.21,31.5,44.44,45.56,51.22,17.11,3.01,4.52,18.67,15.28,11.51,20.55,6.39,6.52
202003,41370,출,36.14,71.26,112.73,133.8,72.49,33.98,13.24,28.65,52.75,56.06,60.48,45.36,15.58,14.48
202003,41390,출,19.74,36.99,51.61,51.17,46.62,19.33,9.21,5.1,22.35,20.0,10.3,17.17,6.84,6.59
202003,41410,출,5.63,26.04,22.94,23.86,28.57,7.03,5.66,4.88,5.57,12.38,4.93,9.01,4.9,3.39
202003,41430,출,3.99,20.1,9.32,16.87,16.12,6.87,3.71,7.72,7.07,7.25,3.63,4.42,5.57,0.59
202003,41450,출,9.7,17.8,27.55,21.84,28.77,9.2,6.95,10.37,10.57,15.19,8.82,11.11,3.82,2.45
202003,41460,출,118.1,284.65,504.79,586.91,512.91,213.27,111.42,121.7,189.16,231.01,231.6,287.57,125.36,105.31
202003,41480,출,6.05,19.11,29.96,31.89,27.27,7.52,1.4,2.68,6.92,6.17,4.65,3.84,2.05,2.95
202003,41500,출,56.44,116.09,266.6,210.27,213.79,118.77,39.36,36.98,55.49,108.23,94.52,104.92,56.57,47.41
202003,41550,출,20171.05,13945.21,16385.99,16533.7,14319.77,8332.91,6831.12,18903.8,11225.48,13301.91,14405.66,13434.51,8563.75,11067.85
202003,41570,출,13.29,18.1,21.94,31.13,29.28,9.23,3.73,5.14,5.28,7.07,6.65,3.0,3.23,3.18
202003,41590,출,46.61,181.98,371.25,443.01,300.54,97.9,21.17,61.41,87.59,139.85,93.87,79.87,35.78,29.43
202003,41610,출,8.27,23.2,51.49,59.41,67.82,33.34,6.51,11.7,20.38,24.09,13.43,22.08,9.1,5.73
202003,41630,출,2.87,11.83,12.38,11.6,11.94,6.1,0.95,9.48,0.72,3.96,3.06,3.43,0.56,2.35
202003,41650,출,4.08,6.94,17.54,16.07,13.07,6.36,1.66,2.86,7.79,5.72,6.03,3.13,2.04,1.09
202003,41670,출,25.86,21.74,50.01,42.69,48.32,23.66,4.93,11.73,25.82,25.47,26.07,24.53,9.47,9.56
202003,41800,출,0.09,2.38,1.18,3.13,3.59,0.48,0.4,0.0,0.28,2.01,0.78,0.68,0.21,0.09
202003,41820,출,5.05,10.94,9.96,11.78,10.81,2.36,0.36,5.33,11.26,7.52,7.33,4.25,1.37,1.18
202003,41830,출,3.0,9.61,19.33,11.61,20.94,5.65,4.14,6.09,5.61,8.28,5.66,7.21,3.26,3.22
202004,41110,출,94.4,254.73,258.55,209.94,174.55,78.37,35.03,58.66,163.04,109.0,94.41,100.76,64.86,47.98
202004,41130,출,16.34,88.38,109.38,118.1,88.68,47.9,21.76,35.55,64.02,52.11,49.08,46.6,31.59,29.57
202004,41150,출,2.28,14.75,27.16,19.95,24.37,6.18,4.17,0.88,6.09,5.67,5.72,9.96,2.4,0.94
202004,41170,출,3.26,53.87,42.35,49.34,36.83,27.07,8.87,6.24,26.45,18.81,19.2,19.14,14.68,11.03
202004,41190,출,20.94,59.04,48.77,43.43,40.51,21.22,5.67,16.45,32.83,20.03,16.74,13.05,9.07,7.62
202004,41210,출,5.16,18.43,18.32,26.32,13.86,8.32,1.84,4.74,18.54,12.33,8.72,5.48,7.85,0.99
202004,41220,출,1120.98,1151.13,2025.91,1993.77,1388.14,571.48,258.02,1215.12,1103.02,1557.44,1545.94,1101.47,519.2,354.12
202004,41250,출,0.65,0.67,4.73,3.71,2.87,1.36,0.35,3.36,1.41,0.45,0.96,0.81,1.76,0.27
202004,41270,출,14.18,75.01,67.31,78.66,75.48,31.69,6.14,33.34,35.03,23.02,23.17,36.07,7.64,14.59
202004,41280,출,17.27,58.13,31.45,42.89,58.82,17.19,3.73,13.95,26.47,11.43,10.07,14.86,7.12,8.18
202004,41290,출,1.13,5.0,8.21,5.28,8.27,3.46,1.62,1.47,1.0,2.66,3.11,1.43,0.87,1.09
202004,41310,출,1.26,16.77,19.36,10.75,15.56,5.19,2.01,1.2,4.1,3.33,1.75,3.79,4.28,0.56
202004,41360,출,14.17,39.63,48.14,54.64,51.81,19.62,4.23,5.96,18.88,14.8,13.34,21.92,8.15,4.71
202004,41370,출,34.7,72.68,121.49,133.37,78.43,42.31,15.05,29.99,71.08,63.97,58.29,51.88,14.18,14.67
202004,41390,출,13.4,46.42,60.29,47.63,48.9,21.99,6.84,12.96,23.55,18.34,9.84,19.96,5.78,8.14
202004,41410,출,12.73,26.77,20.79,28.0,32.47,12.78,5.96,5.5,5.8,12.01,5.09,7.14,3.98,3.08
202004,41430,출,5.01,14.75,11.2,18.06,16.65,9.56,3.27,6.87,6.13,8.13,3.77,7.66,7.17,0.98
202004,41450,출,3.27,18.89,30.36,23.99,30.8,8.28,7.15,5.49,12.45,18.75,7.19,9.39,2.88,3.19
202004,41460,출,141.56,317.44,546.93,621.14,555.62,256.29,122.34,158.65,237.71,275.17,283.56,333.24,164.81,134.72
202004,41480,출,4.3,23.32,27.77,25.92,28.01,8.66,0.89,3.74,11.74,8.14,8.84,7.03,3.29,5.06
202004,41500,출,76.1,134.24,291.79,229.61,234.09,124.99,38.92,45.74,60.67,126.38,102.18,118.3,66.77,50.32
202004,41550,출,20144.4,13974.95,16255.18,16428.01,14258.18,8311.24,6834.61,18996.39,11201.8,13242.22,14383.63,13382.52,8560.06,11079.2
202004,41570,출,6.17,14.17,25.39,26.1,22.91,11.34,4.71,2.04,12.14,10.12,3.71,5.03,2.39,5.76
