,출발지,40대남성 유입인구,ADDR,lat,long
0,11,1338.5899999999997,서울특별시,37.56,126.9
1,26,88.14,부산광역시,35.16,129.0
2,27,81.27000000000001,대구광역시,35.87,128.53
3,28,402.61000000000007,인천광역시,37.46,126.6
4,29,51.29,광주광역시,35.17,126.8
5,30,164.13,대전광역시,36.37,127.35
6,31,25.94,울산광역시,35.56,129.28
7,36,46.19,세종특별자치시,36.25,127.24
8,41,22778.07,경기도,37.59,126.53
9,42,95.58000000000001,강원도,37.86,127.68
10,43,558.85,충청북도,36.63,127.68
11,44,1176.97,충청남도,36.53,126.51
12,45,112.82000000000001,전라북도,35.72,126.64
13,46,51.92000000000001,전라남도,34.69,125.93
14,47,103.79,경상북도,36.55,129.28
15,48,113.55000000000003,경상남도,35.18,127.83
16,50,24.78,제주특별자치도,33.57,126.29
