,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2021-06-30,239500,0,0.0,240000,241000,238500,653096,156348960372,51173530786500,213668187
2021-06-29,239500,-1500,-0.62,240500,242500,239000,627915,150635106000,51173530786500,213668187
2021-06-28,241000,-2000,-0.82,244000,244500,240000,575102,138789048000,51494033067000,213668187
2021-06-25,243000,500,0.21,243500,244000,241000,537893,130455190500,51921369441000,213668187
2021-06-24,242500,0,0.0,243500,249000,241000,1494131,365731706500,51814535347500,213668187
2021-06-23,242500,1500,0.62,242000,243000,239000,843399,203349893500,51814535347500,213668187
2021-06-22,241000,8000,3.43,235500,243000,235000,1299242,312358481000,51494033067000,213668187
2021-06-21,233000,-2000,-0.85,234000,236000,232000,823355,192116336500,49784687571000,213668187
2021-06-18,235000,-1500,-0.63,237000,238000,235000,1036077,244676157008,50212023945000,213668187
2021-06-17,236500,-3000,-1.25,239000,239500,236000,724881,171814724000,50532526225500,213668187
2021-06-16,239500,2500,1.05,237000,243000,237000,778322,187128942500,51173530786500,213668187
2021-06-15,237000,-1000,-0.42,238000,239000,235500,471192,111811024500,50639360319000,213668187
2021-06-14,238000,-500,-0.21,238500,240000,235000,561560,133136551500,50853028506000,213668187
2021-06-11,238500,2500,1.06,237500,241500,237000,687536,164607398500,50959862599500,213668187
2021-06-10,236000,-3500,-1.46,239000,240000,236000,1094346,259484891500,50425692132000,213668187
2021-06-09,239500,-4000,-1.64,243000,245500,239000,941037,227704136500,51173530786500,213668187
2021-06-08,243500,2000,0.83,241500,245000,238500,875362,212175559500,52028203534500,213668187
2021-06-07,241500,0,0.0,244500,247500,240500,1343895,327410483000,51600867160500,213668187
2021-06-04,241500,3000,1.26,241500,243000,238000,1333789,321531070500,51600867160500,213668187
2021-06-03,238500,500,0.21,238500,240500,236500,1034103,246605146000,50959862599500,213668187
2021-06-02,238000,1000,0.42,238500,243000,235500,1707167,408368081500,50853028506000,213668187
2021-06-01,237000,2000,0.85,235000,237500,232500,1027141,242589664000,50639360319000,213668187
2021-05-31,235000,3000,1.29,233000,235500,230500,1132711,264646360500,50212023945000,213668187
2021-05-28,232000,11500,5.22,223500,232500,223000,2394356,550692027000,49571019384000,213668187
2021-05-27,220500,-3000,-1.34,223000,223500,220000,2306997,509591137500,47113835233500,213668187
